Partner Name,Country,City,Category,Type,Contact Name,Status,Priority,Flagship Link,Notes
Tokyo Sushi Academy,Japan,Tokyo,Culinary,School,,Not Contacted,High,Sushi Mastery,Flagship partner — English instruction — Tsukiji partnership. Eval file exists for Hiroki Ishii.
Hattori Nutrition College,Japan,Tokyo,Culinary,School,,Not Contacted,Medium,Sushi Mastery,Founded by Iron Chef judge — strong network
Yamato Ramen School,Japan,Tokyo,Culinary,School,,Not Contacted,Medium,,1000+ graduate shops — industry standard
Hakkaisan Brewery,Japan,Niigata,Culinary,Venue,,Not Contacted,Medium,,Premium sake — winter immersion
Kodokan Judo Institute,Japan,Tokyo,Adventure,Institution,,Not Contacted,Low,,Birthplace of judo
Bizen Pottery Museum,Japan,Bizen,Creative,Institution,,Not Contacted,High,,Government-supported — ceramics flagship
Tiger Muay Thai,Thailand,Phuket,Adventure,School,,Not Contacted,High,,World's most famous camp
ITM Chiang Mai,Thailand,Chiang Mai,Wellness,School,,Not Contacted,Medium,,Gold standard Thai massage certification
Crystal Dive,Thailand,Koh Tao,Adventure,School,,Not Contacted,Medium,,PADI 5-Star — eco-focused
Wat Pho,Thailand,Bangkok,Wellness,Institution,,Not Contacted,Medium,,Original source Thai massage
Blue Elephant,Thailand,Bangkok,Culinary,School,,Not Contacted,Medium,,Royal Thai cuisine — historic mansion
Blue Season Bali,Indonesia,Bali,Adventure,School,,Not Contacted,High,,PADI 5-Star IDC — instructor training
The Yoga Barn,Indonesia,Ubud,Wellness,School,,Not Contacted,High,,Asia's most famous — yoga flagship
Misool Eco Resort,Indonesia,Raja Ampat,Adventure,Venue,,Not Contacted,Medium,,Conservation pioneers — premium eco-diving
Freedive Gili,Indonesia,Gili Islands,Adventure,School,,Not Contacted,High,,Multiple certs — sculpture garden
Ericeira Surf & Skate,Portugal,Ericeira,Adventure,School,,Not Contacted,High,,ISA-certified — World Surf Reserve
Sailing Academy Cascais,Portugal,Cascais,Sailing,School,,Not Contacted,Medium,,RYA-certified — racing heritage
Quinta do Noval,Portugal,Douro Valley,Culinary,Venue,,Not Contacted,High,,250-year estate — wine flagship
Pico Sport,Portugal,Azores,Adventure,School,,Not Contacted,Medium,,AIDA cert — whale encounters
Casa de los Sabores,Mexico,Oaxaca,Culinary,Master,Pilar Cabrera,Not Contacted,High,Indigenous Cuisine,Oaxacan legend — master instructor
Seasons of My Heart,Mexico,Oaxaca,Culinary,School,Susana Trilling,Not Contacted,High,Indigenous Cuisine,James Beard winner — 30+ years teaching — PRIORITY #1 Mexico
Casa Oaxaca,Mexico,Oaxaca,Culinary,Restaurant,Alejandro Ruiz,Not Contacted,Medium,Indigenous Cuisine,Mexico's best Oaxacan restaurant — chef's table
Real Minero,Mexico,Oaxaca,Culinary,Venue,Graciela Angeles,Not Contacted,Medium,Indigenous Cuisine,5th gen mezcal — female maestro mezcalera
Freedive Tulum,Mexico,Tulum,Adventure,School,,Not Contacted,Medium,,Cenote specialty — AIDA/Molchanov
Kavas Sailing,Greece,Cyclades,Sailing,School,,Not Contacted,Medium,,RYA center
Domaine Sigalas,Greece,Santorini,Culinary,Venue,,Not Contacted,Medium,,Benchmark Assyrtiko
Cretan Culinary Sanctuaries,Greece,Crete,Culinary,School,,Not Contacted,Medium,,Farm-to-table — traditional
Basque Culinary Center,Spain,San Sebastián,Culinary,Institution,,Not Contacted,High,New Basque + Avant-Garde,University-level — connects to both Basque and Barcelona flagships
Mimo San Sebastián,Spain,San Sebastián,Culinary,School,,Not Contacted,Medium,New Basque,Pintxos specialty — accessible immersion
Fundación Cristina Heeren,Spain,Seville,Creative,Institution,,Not Contacted,Low,,Most prestigious flamenco school
Tarifa Max,Spain,Tarifa,Adventure,School,,Not Contacted,Medium,,IKO certified — wind capital of Europe
Le Cordon Bleu Paris,France,Paris,Culinary,School,,Not Contacted,High,French Pastry,Flagship campus — world's most recognized pastry certification
École Ducasse,France,Paris,Culinary,School,,Not Contacted,High,French Pastry,Alain Ducasse's school — modern French approach
Ferrandi Paris,France,Paris,Culinary,School,,Not Contacted,High,French Pastry,Public school — elite reputation — strong industry placement
Antinori,Italy,Tuscany,Culinary,Venue,,Not Contacted,Medium,Terroir Cooking,600-year wine dynasty
Biondi-Santi,Italy,Montalcino,Culinary,Venue,,Not Contacted,Medium,Terroir Cooking,Created Brunello di Montalcino
La Vecchia Scuola Bolognese,Italy,Bologna,Culinary,School,,Not Contacted,Medium,,Sfogline tradition — hand-rolled pasta mastery
AVPN,Italy,Naples,Culinary,Institution,,Not Contacted,Medium,,Official Neapolitan pizza certifying body
Carpigiani Gelato University,Italy,Bologna,Culinary,School,,Not Contacted,Medium,,Industry standard gelato certification
